NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
713,ER104,"Sawo Manila, segar",DABM-1964,75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1,26,110.2,0,0.1,0,111,60,0.01,0.04,1.4,21,79
714,ER105,"Semangka, segar",DABM-1964,92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0,0.1,,315,590,0.05,0.05,0.3,6,46
715,ER106,"Sirsak, segar",DABM-1964,81.7,65,1,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.1,1,,8,10,0.07,0.08,0.7,20,68
717,ER108,"Srikaya, segar",KZGPI- 1990,83.4,63,1.1,0.5,13.9,2.1,1.1,127,30,2.7,,,,,0,,31,0.08,,,28,48
718,ER109,"Sukun muda, segar",KZGPI- 1990,69.4,119,1.4,0.2,28.1,1.4,1,24,44,1.4,24,414.4,0.1,0.1,,28,4896,0.17,0.17,3.7,52,84
719,ER110,"Sukun tua, segar",KZGPI- 1990,67.8,126,1.6,0.2,24.5,1.5,1,37,47,1.6,25,436,0.1,0.1,,30,2000,0.18,0.17,3.9,58,88
724,EP003,Getuk pisang,KZGPI- 1990,63.7,144,1.1,0.4,34.1,0.4,0.7,48,32,1,,,,,,,1240,0.55,,,0,100
726,EP005,Ledre pisang,KZGPI- 1990,3.6,405,4.8,5.1,84.9,0.4,1.6,59,124,2.6,,,,,,4,7330,0.41,,,0,100
727,EP006,Lempog durian,KZGPI- 1990,25.2,320,3.5,5.7,63.7,4.9,1.9,190,93,2.5,,,,,,,,0.05,0.04,,,100
730,EP009,Rujak aceh,KZGMI-2001,78.7,82,0.4,0.3,19.7,2.4,0.9,,,,,,,,,10,,0.22,0.03,,42,100
731,EP010,Sale kesemek,KZGMI-2001,25,296,1.1,0.6,71.2,,1.8,,,,,,,,,,,,,,3,100
732,EP011,Sale pisang siam,KZGPI- 1990,28.9,281,2.4,0.7,66.1,1,2,41,64,1.2,,,,,,,272,0.1,,,0,100
733,EP012,"Sale pisang, cilacap",KZGPI- 1990,27.1,295,2.3,2.1,66.9,1.3,1.7,47,97,2.8,,,,,,,296,0.14,,,,100
741,FR005,"Ayam, daging, segar",DABM-1964,55.9,298,18.2,25,0,0,0.9,14,200,1.5,109,385.9,0.11,0.6,245,0,,0.08,0.14,10.4,0,58
742,FR006,"Ayam, dideh/darah, segar",,82,75,13.8,1.9,0.7,0,1.6,15,9,1.3,337,234,,,15,,,0.02,,0.6,0,100
743,FR007,"Ayam, hati, segar",KZGMS-1993,53.4,261,27.4,16.1,1.6,0,1.5,118,373,15.8,1068,22.9,0.84,0,4957,169,28000,0.64,4.38,4.11,0,100
748,FR012,"Bebek (itik), daging, segar",DABM-1964,5.3,321,16,28.6,0,0,1.1,15,188,1.8,54,199,0.21,1.2,273,0,,0.1,0.28,4.3,0,60
749,FR013,"Bebek alabio, daging, segar",KZGMI-2001,57,303,11.3,27,3.7,0,1,20,293,4.8,50,260,0.7,2,,0,,0.36,0.04,4.1,,100
752,FR016,"Domba, daging, gemuk, segar",DABM-1964,55.8,317,15.7,27.7,0,0,0.8,9,157,2.4,64,242.1,0.11,3.7,0,0,,0.14,0.23,6.5,0,100
753,FR017,"Domba, daging, kurus, segar",DABM-1964,66.3,202,17.1,14.8,0,0,1.8,10,191,2.6,90,355,0.08,2.8,0,0,,0.15,0.26,5.7,0,100
755,FR019,"Kambing, daging, segar",DABM-1964,70.3,149,16.6,9.2,0,0,3.9,11,124,1,96,268.7,0.31,4.9,0,0,,0.09,0.23,5,0,100
757,FR021,"Kerbau, daging, segar",DABM-1964,80,79,18.7,0.5,0,0,0.8,14,221,3.3,91,273,0.13,1.6,,,,0.06,0.17,5,0,100
759,FR023,"Sapi, babat, segar",DABM-1964,76.7,108,17.6,4.2,0,0,1.5,12,144,1,147,101.4,0.11,2.2,0,49,,0.15,0.17,1.7,0,100
760,FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,17.5,22,0,0,0.5,10,150,2.6,93,267,0.17,6.4,12,0,,0.08,0.18,7.3,0,100
761,FR025,"Sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10,0,0,1.4,11,181,2.9,83,489,0.07,4.9,6,181,,0.07,0.51,1.2,0,100
762,FR026,"Sapi, daging, lemak sedang, segar",DABM-1964,66,201,18.8,14,0,0,1.2,11,170,2.8,105,378,4.58,5.2,9,198,,0.08,0.56,1.3,0,100
771,FP001,"Ayam, ampela, goreng",KZGMS-1993,44.8,270,32.3,11.2,9.9,0,1.8,129,314,4.9,980,,0.12,3.3,56,,0,0.21,,4.72,0,100
772,FP002,"Ayam, usus, goreng",KZGPI-1990,4.6,473,45.2,26.3,13.9,0,10.1,1407,458,8.4,,,,,6,,224,0.57,,0,,100
773,FP003,"Bebek, daging, goreng",KZGMI-2001,48.8,300,24,20.7,4.5,0,2,170,170,4.1,34,6,0.4,3,,0,,0.1,0.4,10.6,,100
781,FP011,"Sapi, abon",KZGPI-1990,7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,,,,,0,240,138,0.17,,,0,100
782,FP012,"Sapi, abon, asli",KZGPI-1990,24.8,358,14.6,16.1,38.6,2.5,5.8,165,136,14.6,,,,,3,194,144,0.13,,,0,100
783,FP013,"Sapi, daging, asap",DABM-1964,60,182,32,6,0,0,2,15,300,5,1620,485.4,0.03,5.1,6,,,0.12,0.23,5.9,0,100
784,FP014,"Sapi, daging, dendeng, mentah",DABM-1964,25,301,55,9,0,,11,30,370,5.1,,,,,0,,,0.1,,,0,100
785,FP015,"Sapi, daging, kornet",DABM-1964,53,289,16,25,0,0,6,10,170,4,794,94.4,0.07,4,0,52,,0.01,0.16,2.7,0,100
786,FP016,"Sapi, daging, sosis (Worst)",DABM-1964,37.6,448,14.5,42.3,2.3,,3.3,28,61,1.1,765,284.5,0.06,1.7,0,,,0.1,0.18,4.9,0,100
791,FP021,"Ayam goreng church texas, dada",KZGPI- 1990,42.2,338,35.2,20.6,0.4,0,1.5,79,221,5.6,800,369.5,0.16,1.1,16,,80,0.52,0.16,12.1,0,100
792,FP022,"Ayam goreng church,texas paha",KZGPI- 1990,50.3,287,31,15.7,1.7,0,1.3,99,176,4.1,723,257,0.17,1.5,22,,30,0.66,0.2,5.3,0,100
793,FP023,"Ayam goreng church texas, sayap",KZGPI- 1990,47.2,295,34,16,1.5,0,1.3,81,179,3,771,237.2,0.16,1.2,13,,50,0.44,0.13,6.2,0,100
794,FP024,"Ayam goreng kalasan, paha",KZGPI- 1990,46.2,275,37.4,12.2,1.3,0,2.9,116,237,5.8,176,321.9,0.16,1.5,10,0,50,0.1,,,0,100
795,FP025,"Ayam goreng kentucky, dada",KZGPI- 1990,46.5,298,34.2,16.8,0.1,0,2.5,90,284,5.5,741,342,0.07,1,36,,50,0.19,0,0,0,100
796,FP026,"Ayam goreng Kentucky, paha",KZGPI- 1990,48.7,286,32.1,16.1,1.1,0,2,89,248,6.9,746,265.2,0.09,2.3,31,,20,0.5,0.21,5.5,0,100
797,FP027,"Ayam goreng Kentucky,sayap",KZGPI- 1990,44.7,297,35.9,15.2,1.6,0,2.6,103,227,4.4,807,248.4,0.06,1.4,22,,70,0.73,0.14,6.5,0,100
798,FP028,Ayam goreng mbok berek dada,KZGPI- 1990,43.4,295,39.2,13.6,1,0,2.8,114,278,5.4,,,,,8,,50,0.19,,,0,100
799,FP029,"Ayam goreng pasundan, dada",KZGPI-1990,50.1,246,37.9,9,0.7,0,2.3,90,260,7.5,,,,,6,,70,0.16,,0,,100
800,FP030,"Ayam goreng pasundan, paha",KZGPI-1990,52.8,245,33.1,11.4,0.3,0,2.5,90,283,7.3,,,,,8,,40,0.37,,0,,100
801,FP031,"Ayam goreng pioneer, dada",KZGPI-1990,44.5,295,37.4,14.7,0.6,0,2.7,108,236,6.8,,,,,16,,80,0.1,,0,,100
802,FP032,"Ayam goreng sukabumi, dada",KZGPI-1990,49.8,244,36.7,9.2,1,0,3.4,81,154,6.1,,,,,20,,80,0.66,,0,,100
803,FP033,"Ayam goreng sukabumi, paha",KZGPI-1990,46,283,35.7,14.3,0.5,0,3.6,68,106,5.4,,,,,11,,60,0.36,,0,,100
804,FP034,"Ayam taliwang, masakan",KZGMI-2001,57.5,264,18.2,20.1,2.7,,1.5,94,164,2,507,408,0.4,12.3,1067,,,,,,,100
806,FP036,Beef burger,KZGMS-1993,45.5,258,10.6,9.5,32.5,0.4,2.2,210,157,2.6,572,189.1,,,218,,7580,0.95,,,0,100
807,FP037,"Beef teriyaki, masakan",KZGMS-1993,65.1,151,8.6,3.1,22.3,0.3,0.9,142,62,2.3,377,,,,22,,400,0.53,,,0,100
808,FP038,"Beef yakiniku, masakan",KZGMS-1993,67.7,132,9.8,1.1,20.7,0.3,0.8,302,67,2,409,,,,78,,700,0.62,,,0,100
810,FP040,"Bulgogi, masakan",KZGMS-1993,84.2,72,11.4,4.9,1.4,1.7,0.7,214,86,2.5,509,,,,17,,,1.08,,,0,100
811,FP041,"Chicken teriyaki, masakan",KZGMS-1993,68.2,168,13,9.6,7.5,0.8,1.7,137,106,3.1,959,,,,68,,2200,0.65,,,0,100
813,FP043,"Coto mangkasara, kuda, masakan",,83.5,96,6.8,5.9,3.8,,0.9,11,106,2.3,96,31,0.1,1,,,,0.23,0.14,4.2,1,100
814,FP044,"Coto mangkasara, sapi, masakan",KZGMI-2001,85.9,84,6,6,1.4,,0.7,8,104,4,90,25,0.3,0.6,,,,0.16,0.14,10.3,,100
816,FP046,"Empal (daging) Goreng, masakan",KZGMS-1993,43.9,248,36.2,6.9,10.1,,2,131,235,6.4,848,,,,112,,620,0.55,,,0,100
817,FP047,Gulai kambing,KZGMI-2001,78.4,126,4.2,9.4,6.2,,1.8,45,73,1.3,302,138,0.2,1.1,151,,,0.13,0.01,,,100
819,FP049,"Kalio ayam, masakan",KZGMS-1993,64.7,203,16,13.5,4.4,,1.4,278,177,4.2,534,,,,105,,3780,0.35,,,0,100
821,FP051,"Kalio kikil (tunjang), masakan",KZGMS-1993,75.3,122,13.8,5.7,3.9,,1.3,154,59,3.4,519,,,,36,,1440,0.38,,,0,100
831,FP061,"Rawon, masakan",KZGPI-1990,86,60,5.4,2.5,4,,2.1,272,153,3.3,,,,,10,,1235,0.09,,,0,100
832,FP062,"Rendang sapi, masakan",KZGPI-1990,57.9,193,22.6,7.9,7.8,0,3.8,474,211,14.9,,,,,21,,534,0.12,,0,,100
838,FP068,"Sop buntut, masakan",KZGMS-1993,86.1,71,7.5,3.6,2.2,,0.6,286,38,3.2,490,,,,119,,2900,0.14,,,0,100
839,FP069,"Sop daging sapi, masakan",KZGMS-1993,87.5,49,5.8,0.5,5.3,,0.9,158,48,2.2,391,,,,101,,3320,0.37,,,0,100
840,FP070,"Sop kaki sapi, masakan",KZGMS-1993,84.5,68,9,1.9,3.7,,0.9,302,15,2.2,435,,,,48,,150,0.46,,,0,100
841,FP071,"Sop kambing, masakan",KZGMS-1993,91.6,34,5.5,0.8,1.1,,1,145,37,1.6,348,,,,48,,80,0.57,,,0,100
842,FP072,"Sop konro, masakan",KZGMI-2001,85,71,7.4,2.6,4.5,,0.5,17,60,4.6,184,25,0.3,1.3,,,,0.12,0.02,10.9,0,100
843,FP073,"Sop saudara, masakan",KZGMI-2001,82.4,89,7.2,5,3.9,,1.5,10,174,9,274,50,0.2,1.1,,,,0.09,0.12,2,0,100
844,FP074,"Soto bandung, masakan",KZGPI-1990,89.9,42,3.9,1.7,2.8,0.4,1.8,74,75,1.8,,,,,6,20,0,,,0,0,100
845,FP075,"Soto banjar, masakan",KZGMI-2001,83.7,110,2.9,9.5,3.2,,0.7,28,28,0.3,36,6,0,0.2,12,,770,0.05,,,0,100
846,FP076,"Soto betawi, masakan",KZGPI-1990,75.9,135,2.5,8.8,11.5,0.5,1.3,222,72,1.9,,,,,6,,336,0.04,,0,0,100
847,FP077,"Soto jeroan, masakan",KZGMS-,81.4,92,11.8,4.3,1.4,,1.1,218,48,1.9,363,,,,85,,440,0.36,,,0,100
848,FP078,"Soto kudus, masakan",KZGPI-1990,91.6,38,2.6,2.3,1.8,0.2,1.7,237,67,1.7,,,,,23,,128,0.06,,0.5,0,100
849,FP079,"Soto madura, masakan",KZGPI-1990,89.8,60,3.5,4.5,1.3,0,0.9,361,126,3.8,,,,,26,,121,0.06,,0,0,100
850,FP080,"Soto padang, masakan",KZGPI-1990,75,127,5.9,6.6,11,0.7,2,298,94,1.5,,,,,12,,204,0.22,,0,0,100
851,FP081,"Soto pekalongan, masakan",KZGPI-1990,83.8,94,3,6.8,5.1,0.3,1.3,322,79,2,,,,,14,,119,0.29,,0,0,100
852,FP082,"Soto pemalang, masakan",KZGPI-1990,86,75,3.6,5.2,3.5,0,1.7,170,80,2.1,,,,,16,,30,0.13,,0,0,100
853,FP083,"Soto sukaraja, masakan",KZGPI-1990,75.9,80,3.2,3.5,9,0.3,1.1,347,77,2.3,,,,,12,,89,0.04,,0,0,100
854,FP084,"Soto sulung, masakan",KZGPI-1990,88.1,86,2.3,8.5,0,0,1.1,200,120,2.9,,,,,20,,105,0.08,,0,0,100
855,FP085,"Sukiyaki, masakan",KZGMS-1993,81,75,5.6,0.4,12.2,0.2,0.8,109,59,0.5,426,,,,41,,1200,0.37,,,0,100
860,GR024,"Ikan ekor kuning, segar",KZGMI-2001,74.1,108,22.3,1.2,2.1,0,0.3,30,220,0.5,50,230,0.1,0.6,40,29,,0,0.1,0.2,,
861,GR025,"Ikan gabus, segar",KZGMI-2001,79.6,80,16.2,0.5,2.6,0,1.1,170,139,0.1,65,254,0.3,0.4,335,,,0.4,0.2,0.1,,
866,GR030,"Ikan kakap, segar",DABM- 1964,77,92,20,0.7,0,0,2.3,20,200,1,,,,,9,,,0.05,,,0,
869,GR033,"Ikan kamera (kakap merah), segar",KZGMI-2001,78.5,86,19.7,0.8,0,0,1.3,50,170,0.3,90,290,0.3,0.1,26,,,,0.08,0.1,,
874,GR038,"Ikan lais, segar",KZGPI- 1990,65,161,11.9,11.5,2.4,0,9.2,70,237,0,,,,,0,,0,0.05,,,0,62
875,GR039,"Ikan layang, segar",DABM- 1964,74,109,22,1.7,0,0,2.3,50,150,2,,,,,45,0,,0.05,,,0,80
876,GR040,"Ikan layur, segar",KZGPI- 1990,80.1,82,18,1,0.4,0,0.5,48,229,2.2,,,,,4,,0,0.04,,,0,49
882,GR046,"Ikan mas, segar",DABM- 1964,80,86,16,2,0,0,2,20,150,2,65,276.7,0.1,1.1,45,8,,0.05,0.1,2.6,0,80
883,GR047,"Ikan mayong, segar",KZGPI- 1990,78.2,97,17.9,2,0.4,0,1.5,40,100,2.5,,,,,21,,0,0.1,,,0,89
884,GR048,"Ikan mujahir, segar",KZGPI- 1990,79.7,89,18.7,1,0,0,1.1,96,209,1.5,51,265.8,0,0.2,6,3,5,0.03,0.1,2,0,80
889,GR053,"Ikan patin, segar",KZGMI-2001,74.4,132,17,6.6,1.1,0,0.9,31,173,1.6,77,346,0.7,0.8,,7,,0.2,0.03,1.7,,
893,GR057,"Ikan sarden, segar",KZGMI-2001,72.7,109,19.9,1.8,3.4,0,2.2,95,597,1.3,266,227,0.3,2,195,0,,0.26,0.03,4.4,,
894,GR058,"Ikan selar, segar",DABM- 1964,75.4,100,18.8,2.2,0,0,3.6,40,179,0.5,43,392.6,0.1,0.3,45,0,,0.37,0.2,3.4,0,48
895,GR059,"Ikan sepat, segar",KZGMI-2001,78.8,84,15.2,0.6,4.7,0,0.8,68,171,2.1,211,198,0.7,0.6,,0,,0.16,0.03,1.9,,75
896,GR060,"Ikan sidat, segar",KZGPI- 1990,71.3,81,11.4,1.9,3.8,0,11.6,118,174,3,46,245.9,0,1.5,15,0,0,0,0.4,3.2,0,100
904,GR068,"Ikan teri, segar",KZGPI- 1990,80,74,10.3,1.4,4.1,0,4.2,972,253,3.9,554,126.1,305.2,0.2,13,0,28,0.24,0.1,1.9,0,100
906,GR070,"Ikan tongkol, segar",KZGMI-2001,74.7,100,13.7,1.5,8,0,2.1,92,606,1.7,202,227,0.2,1.6,181,0,,0.35,0.03,6.6,,100
908,GR072,"Keong, segar",DABM- 1964,81,64,12,1,2,0,4,217,78,1.7,231,,0.37,0.1,0,244,,,,,,46
909,GR073,"Kepiting, segar",DABM- 1964,68.1,151,13.8,3.8,14.1,0,0.2,210,250,1.1,,,,,61,,,0.05,,,0,45
910,GR074,"Kerang, segar",KZGPI- 1990,78.2,101,14.4,2.6,3.9,0,0.9,321,270,15.6,,,,,0,,0,0.01,,,0,100
915,GR079,"Rajungan, segar",KZGMI-2001,80.2,76,12.1,2,2.4,0,2.7,721,214,2.2,69,192,1.7,2.9,599,40,,0.2,0.25,0.2,,
916,GR080,"Rebon, udang kecil, segar",DABM- 1964,79,81,16.2,1.2,0.7,0,2.9,757,292,2.2,169,202.9,0.7,1.2,18,0,,0.04,0.1,2.4,0,100
918,GR082,"Udang galah, segar",KZGMI-2001,79,81,16.5,0.3,3,0,1.2,87,167,0.7,95,132,0.7,1.2,,3,,0.24,0.03,2.9,,68
919,GR083,"Udang, besar, segar",KZGMI-2001,85.5,56,11.4,0.6,1.2,0,1.3,30,20,0.3,190,210,0.4,0.8,,0,,0.14,0,0.1,,68
920,GR084,"Udang, segar",DABM- 1964,75,91,21,0.2,0.1,0,3.7,136,170,8,178,222.4,0.3,1.3,18,4,,0.01,0.4,3.7,0,68
922,GP002,"Belut, goreng",KZGPI- 1990,11.2,417,25.9,19.4,32,0,11.5,840,872,4.9,71,217.7,0.3,1.8,0,,0,0,0.2,10.5,0,
923,GP003,"Cumi-cumi, goreng",KZGPI- 1990,54.2,265,40.6,10.1,0,0,3.1,62,270,2.7,86,81.9,,,0,56,0,0.09,0,6.3,0,
924,GP004,"Ikan asin, kering",DABM- 1964,40,193,42,1.5,0,0,16.5,200,300,0,,,,,,,,0.01,,,0,70
925,GP005,"Ikan bandeng presto, masakan",KZGPI- 1990,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,,,,,6,0,400,0.14,,,69,100
926,GP006,Ikan baung bakar,KZGMI-2001,69.8,144,17.8,5.8,5.2,,1.4,18,169,0,168,236,0.1,0.7,,,,0,0,1.3,,
927,GP007,Ikan Belida bakar,KZGMI-2001,68.2,128,18,3,7.2,0,3.6,58,134,0,293,198,0.1,0.4,,0,,1.8,0.17,1.5,,
928,GP008,"Ikan cakalang asap, mentah",KZGMI-2001,56.9,204,34.2,5.6,1.9,,1.4,14,399,1.3,176,588,0.3,0.7,1546,,,0.53,0.07,,,70
929,GP009,"Ikan cakalang asin, mentah",KZGPI- 1990,41.7,198,36.5,2.2,5.5,0,14.1,236,346,3.7,4304,302.1,,,0,,0,0.06,,,0,70
930,GP010,"Ikan calo/ peda, mentah",KZGPI- 1990,71.3,81,11.4,1.9,3.8,0,11.6,743,174,22.6,,,,,15,,0,0,,,0,100
931,GP011,"Ikan Gabus asap, mentah",KZGMI-2001,26.4,261,38.1,2.3,21.9,0,11.3,2510,1840,2.9,320,410,0.4,0.8,114,,,0.1,0.1,14.5,,80
932,GP012,"Ikan Gabus, kering",DABM- 1964,24,268,58,4,0,0,14,15,100,0.1,,,,,30,,,0.1,,,0,80
933,GP013,"Ikan gete, goreng",KZGMI-2001,44.7,267,23.1,19.4,0.2,,12.6,2340,1240,0.8,590,440,0.1,1.9,,,,,,0.2,,
934,GP014,"Ikan hiu, kering",KZGMI-2001,23.1,298,46.3,3.6,20.2,,6.8,335,846,2.5,957,1457,0.5,2,661,,,0.84,0.11,22.5,,
935,GP015,"Ikan katombo, asin",KZGPI- 1990,44.7,162,31.7,2.8,0.3,0,15.5,279,609,4.6,4393,342.2,2.8,,0,,0,0.09,,,0,70
936,GP016,"Ikan kayu, kering",KZGMI-2001,23.1,302,70.7,1.9,0.4,0,3.9,313,22,4.1,345,1045,,1.8,,,,1.4,0.04,20,,
937,GP017,Ikan Lais bakar,KZGMI-2001,69.4,147,17.5,6.5,5.4,,1.2,54,194,0.1,142,209,,0.5,,,,,,,,
938,GP018,"Ikan lomak asin, mentah",KZGMI-2001,21.6,258,40.3,2.3,18.9,0,16.9,140,279,2.3,6227,485.1,2.3,,,,,0.1,0.3,6,,
939,GP019,Ikan Mas pepes,KZGPI- 1990,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,,315,0.13,0.1,2.4,0,100
940,GP020,Ikan mujahir goreng,KZGPI- 1990,44.7,416,46.9,23.9,0,0,2.2,346,654,0.9,54,278.9,0,0.2,12,3,8,0.12,0.1,2.2,0,100
941,GP021,Ikan Mujahir pepes,KZGPI- 1990,73.7,121,21.7,2.8,0.8,0,1,83,248,1.6,58,265.8,0,0.3,8,,6,0,0.1,1.9,0,100
942,GP022,"Ikan mujahir, dendeng, mentah",,15.2,582,68.3,15.2,37.2,0,14.1,3258,1699,4.3,,,,,15,,20,0.27,,,0,100
943,GP023,"Ikan Papuyu, bakar",KZGMI-2001,66.6,152,17.6,6.1,6.7,0,3,244,227,3.4,320,224,0.2,1,,,,,,,,
944,GP024,"Ikan Patin, bakar",KZGMI-2001,70.3,144,17.5,6.3,4.3,,1.6,191,232,1.4,379,230,0.1,0.7,,,,,,,,
945,GP025,"Ikan peda banjar, mentah",DABM- 1964,46,156,28,4,2,0,20,174,316,3.1,59,368.8,0,0.5,33,4,,0.1,0.1,4.7,,90
946,GP026,"Ikan pepetek, mentah",DABM-60/64,"33,0",176,"32,0","4,4","2,0","0,0","28,6",120,200,"1,0",79,"1,0",,,15,,,0.05,0.1,"2,4",0,
947,GP027,"Ikan Pindang banjar, mentah",DABM-60/64,59,157,28,4.2,1.8,0,7,50,100,1,,,,,45,,,0.1,,2.4,0,
948,GP028,"Ikan Pindang benggol, mentah",DABM-60/64,57,170,31,4.2,0,0,7.8,50,100,1,,,,,45,,,0.1,,,0,
949,GP029,"Ikan Pindang layang, mentah",DABM-60/64,60,153,30,2.8,0,0,7.2,60,200,3,,,,,61,,,0.07,,,0,
950,GP030,"Ikan Pindang selar, mentah",DABM-60/64,60,142,27,3,0,0,10,60,200,3,,,,,61,,,0.07,,,0,
951,GP031,"Ikan sale, mentah",BKP,8.5,534,40.2,39.3,4.9,2,7.1,199,1244,2.7,673,673,0.3,2.6,,410,0,0.02,0.5,0,0,100
952,GP032,"Ikan sale lais, mentah",KZGPI- 1990,12.4,415,61.3,17.6,2.9,0,5.8,258,919,7,381,488,17.6,1,0,,0,0.03,0.1,17.3,0,
953,GP033,"Ikan saluang, kering, mentah",KZGMI-2001,33.6,284,34.1,9.9,14.6,0,7.8,1426,1103,9.5,1767,263,1.3,18.7,,,,0.49,0.03,,,
954,GP034,"Ikan sanggang, masakan",KZGMI-2001,42.6,240,21.7,7.7,20.7,,7.3,159,362,9.8,2041,159,1.5,8.8,,,,0.51,0.03,,,
955,GP035,"Ikan selar kuning, cue, mentah",DABM- 1964,59,138,27,3.3,0,0,0.7,50,100,2,,,,,45,,,0.1,,,0,90
956,GP036,"Ikan selar, kering, mentah",DABM-60/64,43,194,38,3.5,0,0,15.5,20,200,1,,,,,0,0,,0.01,,,0,
957,GP037,"Ikan sepat, kering, mentah",DABM-60/64,30,289,38,14,0,0,18,40,100,0.7,,,,,0,0,,0,,,0,
958,GP038,"Ikan sunu, asin, mentah",,34.7,199,34.1,3.8,7.1,,20.3,94,92,2.2,377,57,0.1,3.2,2481,,,1.5,0.13,7.2,,
959,GP039,"Ikan, tepung, mentah",KZGPI- 1990,4.3,316,60,6.5,22.4,0,6.7,3196,1976,16.6,,,,,320,0,0,0,,,0,
960,GP040,"Ikan Teri nasi, kering, mentah",DABM-60/64,34.5,144,32.5,0.6,0,0,32.4,1000,1000,3,312,,,,61,,,0.1,,,0,
961,GP041,"Ikan Teri, bubuk, mentah",DABM-60/64,15,277,60,2.3,1.8,0,20.9,1209,1225,3,,,,,90,,,0.1,,,0,
962,GP042,"Ikan teri, kering, mentah",DABM-60/64,37.8,170,33.4,3,0.8,0,25.8,1200,1500,3.6,,,,,64,,,0.15,,,0,
963,GP043,"Ikan Teri, kering, tawar, mentah",DABM-60/64,16.7,331,68.7,4.2,0,0,10.4,2381,1500,23.4,,,,,61,,,0.1,,,0,
